order_item_id,order_id,menu_id,quantity,price,subtotal,created_date,modified_date
71,27,104,3,4.15,12.45,2025-09-19 08:48:57,2026-01-27 08:48:57
72,28,61,3,9.24,27.72,2025-08-19 08:48:57,2025-10-15 08:48:57
73,28,59,1,15.89,15.89,2026-02-07 08:48:57,2026-04-22 08:48:57
74,28,61,3,9.24,27.72,2026-07-08 08:48:57,2026-08-07 08:48:57
75,28,58,3,14.97,44.91,2025-12-05 08:48:57,2026-07-04 08:48:57
76,29,121,3,11.98,35.94,2026-07-13 08:48:57,2026-02-10 08:48:57
77,29,119,3,11.54,34.62,2026-01-13 08:48:57,2026-02-06 08:48:57
78,29,121,3,11.98,35.94,2026-07-15 08:48:57,2025-10-02 08:48:57
79,29,117,3,6.1,18.3,2026-07-24 08:48:57,2025-08-03 08:48:57
80,30,95,1,11.99,11.99,2026-04-25 08:48:57,2025-11-21 08:48:57
81,31,138,3,11.49,34.47,2026-04-17 08:48:57,2025-11-14 08:48:57
82,32,46,1,11.66,11.66,2025-11-17 08:48:57,2025-09-11 08:48:57
83,32,46,3,11.66,34.98,2025-09-27 08:48:57,2026-05-14 08:48:57
84,32,49,3,8.98,26.94,2025-11-01 08:48:57,2026-01-13 08:48:57
85,32,50,1,10.5,10.5,2025-07-17 08:48:57,2025-09-21 08:48:57
86,33,16,3,5.12,15.36,2025-09-07 08:48:57,2026-01-07 08:48:57
87,33,10,1,18.95,18.95,2026-05-13 08:48:57,2025-11-05 08:48:57
88,33,15,3,5.16,15.48,2026-02-22 08:48:57,2025-09-11 08:48:57
89,34,132,3,17.09,51.27,2025-12-30 08:48:57,2026-02-14 08:48:57
90,34,130,3,17.42,52.26,2026-02-28 08:48:57,2026-02-04 08:48:57
91,35,136,3,12.17,36.51,2026-03-01 08:48:57,2025-10-06 08:48:57
92,35,134,3,5.32,15.96,2025-11-07 08:48:57,2026-04-26 08:48:57
93,35,136,3,12.17,36.51,2025-07-28 08:48:57,2026-04-05 08:48:57
94,35,135,2,6.27,12.54,2025-12-27 08:48:57,2026-01-22 08:48:57
95,36,98,1,19.68,19.68,2026-03-21 08:48:57,2025-10-12 08:48:57
96,37,11,2,8.67,17.34,2026-08-10 08:48:57,2026-03-13 08:48:57
97,38,22,2,14.65,29.3,2026-08-02 08:48:57,2025-07-14 08:48:57
98,38,27,3,18.06,54.18,2026-03-25 08:48:57,2025-11-03 08:48:57
99,39,10,1,18.95,18.95,2025-12-21 08:48:57,2026-02-12 08:48:57
100,39,11,1,8.67,8.67,2026-03-31 08:48:57,2026-02-07 08:48:57
101,40,12,2,12.72,25.44,2026-03-13 08:48:57,2026-06-27 08:48:57
102,40,15,3,5.16,15.48,2026-04-24 08:48:57,2025-08-03 08:48:57
103,41,135,2,6.27,12.54,2026-05-17 08:48:57,2025-12-07 08:48:57
104,42,13,1,8.22,8.22,2025-08-04 08:48:57,2025-10-22 08:48:57
105,43,57,1,19.48,19.48,2025-07-15 08:48:57,2026-02-23 08:48:57
106,43,59,2,15.89,31.78,2026-01-12 08:48:57,2026-06-13 08:48:57
107,43,63,1,11.65,11.65,2025-07-27 08:48:57,2025-09-13 08:48:57
108,43,63,3,11.65,34.95,2026-08-08 08:48:57,2025-09-23 08:48:57
109,44,69,2,12.47,24.94,2025-11-18 08:48:57,2026-07-23 08:48:57
110,44,71,3,10.0,30.0,2025-10-28 08:48:57,2026-05-29 08:48:57
111,44,71,3,10.0,30.0,2025-08-21 08:48:57,2026-04-22 08:48:57
112,44,70,1,15.43,15.43,2025-09-03 08:48:57,2025-08-04 08:48:57
113,45,91,3,18.07,54.21,2025-10-23 08:48:57,2025-11-28 08:48:57
114,45,88,1,21.37,21.37,2026-01-04 08:48:57,2026-03-18 08:48:57
115,45,91,1,18.07,18.07,2026-06-07 08:48:57,2026-02-22 08:48:57
116,45,88,2,21.37,42.74,2025-10-25 08:48:57,2025-07-28 08:48:57
117,46,49,2,8.98,17.96,2026-04-01 08:48:57,2026-07-01 08:48:57
118,47,76,3,6.36,19.08,2026-06-08 08:48:57,2025-07-19 08:48:57
119,47,74,2,12.32,24.64,2025-10-31 08:48:57,2026-05-04 08:48:57
120,47,76,2,6.36,12.72,2025-09-14 08:48:57,2025-10-25 08:48:57
121,47,74,3,12.32,36.96,2025-10-02 08:48:57,2025-08-02 08:48:57
122,48,89,1,19.74,19.74,2026-03-30 08:48:57,2025-07-12 08:48:57
123,48,91,2,18.07,36.14,2025-08-28 08:48:57,2025-10-23 08:48:57
124,49,45,3,9.51,28.53,2026-01-14 08:48:57,2026-01-09 08:48:57
125,50,23,1,19.6,19.6,2026-03-02 08:48:57,2026-02-18 08:48:57
126,50,25,3,17.54,52.62,2026-08-01 08:48:57,2025-07-15 08:48:57
127,50,23,1,19.6,19.6,2026-02-15 08:48:57,2025-10-02 08:48:57
128,51,78,2,4.25,8.5,2026-07-22 08:48:57,2026-04-16 08:48:57
129,51,78,3,4.25,12.75,2026-02-03 08:48:57,2026-05-26 08:48:57
130,51,77,1,21.52,21.52,2025-07-31 08:48:57,2026-07-17 08:48:57
131,51,78,3,4.25,12.75,2026-05-30 08:48:57,2026-03-19 08:48:57
132,52,75,3,17.62,52.86,2026-06-18 08:48:57,2026-03-10 08:48:57
133,53,20,1,12.74,12.74,2026-02-25 08:48:57,2026-04-28 08:48:57
134,53,18,1,19.36,19.36,2025-11-07 08:48:57,2025-11-19 08:48:57
135,53,19,3,18.4,55.2,2025-12-09 08:48:57,2025-09-29 08:48:57
136,53,18,3,19.36,58.08,2025-08-21 08:48:57,2025-09-05 08:48:57
137,54,84,3,21.98,65.94,2025-09-08 08:48:57,2025-11-17 08:48:57
138,55,54,1,18.8,18.8,2026-07-14 08:48:57,2026-03-21 08:48:57
139,56,19,1,18.4,18.4,2025-12-18 08:48:57,2025-09-12 08:48:57
140,56,17,1,10.85,10.85,2026-01-27 08:48:57,2025-09-09 08:48:57
141,57,62,3,5.28,15.84,2026-02-10 08:48:57,2026-06-19 08:48:57
142,57,57,2,19.48,38.96,2025-09-15 08:48:57,2026-01-28 08:48:57
143,57,58,2,14.97,29.94,2025-11-26 08:48:57,2025-08-15 08:48:57
144,58,135,2,6.27,12.54,2025-10-12 08:48:57,2025-11-14 08:48:57
145,59,11,1,8.67,8.67,2025-11-30 08:48:57,2025-12-22 08:48:57
146,60,115,1,15.15,15.15,2025-11-15 08:48:57,2026-03-10 08:48:57
147,61,118,2,5.75,11.5,2025-07-28 08:48:57,2026-05-25 08:48:57
148,61,115,2,15.15,30.3,2025-08-28 08:48:57,2026-02-14 08:48:57
149,61,117,3,6.1,18.3,2026-03-12 08:48:57,2026-04-15 08:48:57
150,62,9,3,21.1,63.3,2026-04-04 08:48:57,2026-01-27 08:48:57
151,62,9,3,21.1,63.3,2026-03-23 08:48:57,2026-04-20 08:48:57
152,62,11,2,8.67,17.34,2026-01-24 08:48:57,2025-09-11 08:48:57
153,63,122,3,20.23,60.69,2026-01-30 08:48:57,2025-11-20 08:48:57
154,63,127,3,8.51,25.53,2025-09-27 08:48:57,2025-08-27 08:48:57
155,64,31,1,4.46,4.46,2025-10-24 08:48:57,2026-05-27 08:48:57
156,64,31,2,4.46,8.92,2025-10-08 08:48:57,2026-02-26 08:48:57
157,65,103,1,14.29,14.29,2026-04-30 08:48:57,2025-09-13 08:48:57
158,65,100,3,20.22,60.66,2025-11-09 08:48:57,2025-08-28 08:48:57
159,65,100,1,20.22,20.22,2026-03-08 08:48:57,2025-08-26 08:48:57
160,65,103,1,14.29,14.29,2026-01-05 08:48:57,2025-07-15 08:48:57
161,66,120,3,15.08,45.24,2026-05-25 08:48:57,2026-03-04 08:48:57
162,66,115,3,15.15,45.45,2025-11-14 08:48:57,2025-08-10 08:48:57
163,67,89,2,19.74,39.48,2026-05-31 08:48:57,2025-08-06 08:48:57
164,68,6,2,15.81,31.62,2026-01-15 08:48:57,2026-03-11 08:48:57
165,69,71,1,10.0,10.0,2025-07-11 08:48:57,2026-05-09 08:48:57
166,69,69,1,12.47,12.47,2026-05-11 08:48:57,2026-07-31 08:48:57
167,69,71,3,10.0,30.0,2025-10-27 08:48:57,2025-10-04 08:48:57
168,69,70,3,15.43,46.29,2026-04-17 08:48:57,2026-04-17 08:48:57
169,70,47,1,9.52,9.52,2025-08-26 08:48:57,2025-07-10 08:48:57
170,71,33,3,19.31,57.93,2025-10-08 08:48:57,2025-12-16 08:48:57
171,71,37,3,17.21,51.63,2026-02-03 08:48:57,2026-05-11 08:48:57
172,71,38,2,12.37,24.74,2025-12-05 08:48:57,2025-12-14 08:48:57
173,71,33,1,19.31,19.31,2026-05-07 08:48:57,2026-04-20 08:48:57
174,72,131,1,14.69,14.69,2026-03-28 08:48:57,2026-01-14 08:48:57
175,73,37,3,17.21,51.63,2026-05-02 08:48:57,2025-07-22 08:48:57
176,73,33,1,19.31,19.31,2026-05-15 08:48:57,2026-01-01 08:48:57
177,74,98,2,19.68,39.36,2025-12-22 08:48:57,2026-04-09 08:48:57
178,74,96,2,9.28,18.56,2025-07-12 08:48:57,2026-07-23 08:48:57
179,74,97,3,11.42,34.26,2026-01-31 08:48:57,2025-08-10 08:48:57
180,74,95,2,11.99,23.98,2025-10-04 08:48:57,2025-07-29 08:48:57
181,75,68,1,8.12,8.12,2025-12-25 08:48:57,2025-12-23 08:48:57
182,76,70,3,15.43,46.29,2025-11-11 08:48:57,2026-01-23 08:48:57
183,77,31,3,4.46,13.38,2025-07-18 08:48:57,2025-09-25 08:48:57
184,78,129,2,8.78,17.56,2025-12-31 08:48:57,2026-01-22 08:48:57
185,79,38,2,12.37,24.74,2025-12-20 08:48:57,2026-05-20 08:48:57
186,79,35,2,4.23,8.46,2025-10-04 08:48:57,2026-07-17 08:48:57
187,79,37,3,17.21,51.63,2026-06-02 08:48:57,2025-12-19 08:48:57
188,80,128,3,10.45,31.35,2025-11-30 08:48:57,2026-06-17 08:48:57
189,80,129,3,8.78,26.34,2025-08-22 08:48:57,2025-11-07 08:48:57
190,80,129,2,8.78,17.56,2026-01-14 08:48:57,2026-03-01 08:48:57
191,80,131,1,14.69,14.69,2026-05-14 08:48:57,2025-12-24 08:48:57
192,81,114,1,14.52,14.52,2026-04-07 08:48:57,2026-03-01 08:48:57
193,81,112,3,21.41,64.23,2025-08-03 08:48:57,2026-06-11 08:48:57
194,82,17,3,10.85,32.55,2025-12-26 08:48:57,2025-09-23 08:48:57
195,83,128,3,10.45,31.35,2025-08-16 08:48:57,2026-01-29 08:48:57
196,83,132,3,17.09,51.27,2026-05-24 08:48:57,2026-02-01 08:48:57
197,83,132,2,17.09,34.18,2026-07-22 08:48:57,2025-07-16 08:48:57
198,84,47,3,9.52,28.56,2025-09-10 08:48:57,2026-05-29 08:48:57
199,84,46,1,11.66,11.66,2026-05-14 08:48:57,2025-07-16 08:48:57
200,85,76,2,6.36,12.72,2026-03-08 08:48:57,2025-08-05 08:48:57
201,86,101,3,9.38,28.14,2026-05-13 08:48:57,2026-06-14 08:48:57
202,86,100,1,20.22,20.22,2026-08-12 08:48:57,2025-09-29 08:48:57
203,86,101,1,9.38,9.38,2025-12-22 08:48:57,2025-12-02 08:48:57
204,86,102,3,7.59,22.77,2026-08-11 08:48:57,2025-10-06 08:48:57
205,87,12,1,12.72,12.72,2025-10-16 08:48:57,2025-09-10 08:48:57
206,87,16,2,5.12,10.24,2026-01-16 08:48:57,2025-12-30 08:48:57
207,87,10,3,18.95,56.85,2025-10-10 08:48:57,2026-08-10 08:48:57
208,87,12,3,12.72,38.16,2026-03-24 08:48:57,2025-09-30 08:48:57
209,88,73,1,8.54,8.54,2026-05-30 08:48:57,2026-07-16 08:48:57
210,88,75,1,17.62,17.62,2026-05-31 08:48:57,2026-07-28 08:48:57
211,89,90,1,17.0,17.0,2026-07-19 08:48:57,2026-06-19 08:48:57
212,89,91,1,18.07,18.07,2026-05-23 08:48:57,2025-09-03 08:48:57
213,89,90,3,17.0,51.0,2025-09-09 08:48:57,2025-08-24 08:48:57
214,90,67,3,20.01,60.03,2025-10-21 08:48:57,2026-02-10 08:48:57
215,90,64,1,5.07,5.07,2025-07-16 08:48:57,2026-03-13 08:48:57
216,91,47,2,9.52,19.04,2026-07-10 08:48:57,2025-07-21 08:48:57
217,91,48,3,6.15,18.45,2026-07-11 08:48:57,2026-03-17 08:48:57
218,91,48,1,6.15,6.15,2026-06-12 08:48:57,2025-08-23 08:48:57
219,92,79,3,21.05,63.15,2026-01-14 08:48:57,2025-11-18 08:48:57
220,92,78,3,4.25,12.75,2026-04-28 08:48:57,2025-10-04 08:48:57
221,92,77,1,21.52,21.52,2025-10-25 08:48:57,2025-08-05 08:48:57
222,93,35,3,4.23,12.69,2025-08-26 08:48:57,2025-10-08 08:48:57
223,94,76,3,6.36,19.08,2026-03-04 08:48:57,2026-04-03 08:48:57
224,94,75,1,17.62,17.62,2025-10-03 08:48:57,2025-10-29 08:48:57
225,94,76,3,6.36,19.08,2025-08-05 08:48:57,2025-09-24 08:48:57
226,95,35,1,4.23,4.23,2025-10-05 08:48:57,2026-04-16 08:48:57
227,95,37,2,17.21,34.42,2026-05-06 08:48:57,2026-08-13 08:48:57
228,95,32,1,5.37,5.37,2025-12-18 08:48:57,2025-09-27 08:48:57
229,95,38,1,12.37,12.37,2025-08-01 08:48:57,2026-04-29 08:48:57
230,96,84,1,21.98,21.98,2026-02-24 08:48:57,2026-02-15 08:48:57
231,96,85,3,10.21,30.63,2026-04-27 08:48:57,2026-08-08 08:48:57
232,96,86,1,14.29,14.29,2025-08-25 08:48:57,2026-03-22 08:48:57
233,96,83,1,18.77,18.77,2026-03-09 08:48:57,2026-03-13 08:48:57
234,97,122,1,20.23,20.23,2025-08-27 08:48:57,2026-02-24 08:48:57
235,97,124,2,21.48,42.96,2025-08-08 08:48:57,2025-10-26 08:48:57
236,97,126,1,17.94,17.94,2026-05-16 08:48:57,2026-05-06 08:48:57
237,98,101,3,9.38,28.14,2025-12-11 08:48:57,2025-12-14 08:48:57
238,98,99,3,15.48,46.44,2026-06-05 08:48:57,2025-12-10 08:48:57
239,98,100,3,20.22,60.66,2025-12-21 08:48:57,2025-11-12 08:48:57
240,99,60,2,6.82,13.64,2025-07-29 08:48:57,2026-07-16 08:48:57
241,99,63,3,11.65,34.95,2026-03-13 08:48:57,2025-10-28 08:48:57
242,99,62,3,5.28,15.84,2026-03-05 08:48:57,2025-11-02 08:48:57
243,100,33,3,19.31,57.93,2025-08-28 08:48:57,2026-02-25 08:48:57
244,101,122,1,20.23,20.23,2026-03-23 08:48:57,2026-07-29 08:48:57
245,101,124,2,21.48,42.96,2025-09-27 08:48:57,2025-11-13 08:48:57
246,101,123,3,21.43,64.29,2025-10-07 08:48:57,2026-01-26 08:48:57
247,102,17,2,10.85,21.7,2025-08-17 08:48:57,2026-03-05 08:48:57
248,102,17,2,10.85,21.7,2026-01-14 08:48:57,2026-06-30 08:48:57
249,103,4,2,21.71,43.42,2025-12-25 08:48:57,2026-03-12 08:48:57
250,103,4,3,21.71,65.13,2026-03-12 08:48:57,2026-05-16 08:48:57
251,103,2,2,15.95,31.9,2026-07-25 08:48:57,2025-07-11 08:48:57
252,103,4,1,21.71,21.71,2025-12-29 08:48:57,2025-11-27 08:48:57
253,104,110,2,8.63,17.26,2025-11-30 08:48:57,2026-05-27 08:48:57
254,105,59,2,15.89,31.78,2025-08-03 08:48:57,2025-11-18 08:48:57
255,105,59,2,15.89,31.78,2026-06-01 08:48:57,2025-07-16 08:48:57
256,106,110,3,8.63,25.89,2025-09-01 08:48:57,2026-06-07 08:48:57
257,107,111,2,21.33,42.66,2026-01-27 08:48:57,2025-08-13 08:48:57
258,107,111,1,21.33,21.33,2026-03-07 08:48:57,2026-07-22 08:48:57
259,108,14,2,6.71,13.42,2026-07-21 08:48:57,2026-06-22 08:48:57
260,109,57,3,19.48,58.44,2025-07-21 08:48:57,2026-03-07 08:48:57
261,109,62,1,5.28,5.28,2026-03-02 08:48:57,2026-05-03 08:48:57
262,109,58,2,14.97,29.94,2026-03-25 08:48:57,2025-11-14 08:48:57
263,110,136,3,12.17,36.51,2026-06-14 08:48:57,2026-03-27 08:48:57
264,110,134,1,5.32,5.32,2026-03-26 08:48:57,2026-06-16 08:48:57
265,110,133,3,19.25,57.75,2025-10-31 08:48:57,2025-11-23 08:48:57
266,111,116,3,15.44,46.32,2026-02-15 08:48:57,2025-11-05 08:48:57
267,112,95,1,11.99,11.99,2025-08-18 08:48:57,2026-03-21 08:48:57
268,112,97,1,11.42,11.42,2026-05-18 08:48:57,2026-07-08 08:48:57
269,112,95,3,11.99,35.97,2026-02-21 08:48:57,2025-11-10 08:48:57
270,113,73,1,8.54,8.54,2026-07-30 08:48:57,2025-12-15 08:48:57
271,113,73,1,8.54,8.54,2026-01-29 08:48:57,2026-07-17 08:48:57
272,113,73,2,8.54,17.08,2026-01-25 08:48:57,2026-05-14 08:48:57
273,113,76,3,6.36,19.08,2026-02-12 08:48:57,2026-03-07 08:48:57
274,114,12,3,12.72,38.16,2025-07-21 08:48:57,2025-09-04 08:48:57
275,114,10,2,18.95,37.9,2025-10-27 08:48:57,2026-06-07 08:48:57
276,114,10,3,18.95,56.85,2025-12-17 08:48:57,2026-06-25 08:48:57
277,115,71,3,10.0,30.0,2025-09-18 08:48:57,2025-08-15 08:48:57
278,115,72,2,9.19,18.38,2026-04-17 08:48:57,2026-04-21 08:48:57
279,115,70,3,15.43,46.29,2026-04-03 08:48:57,2026-02-08 08:48:57
280,115,72,1,9.19,9.19,2025-08-20 08:48:57,2025-09-07 08:48:57
281,116,113,2,13.66,27.32,2025-12-07 08:48:57,2026-07-29 08:48:57
282,116,111,2,21.33,42.66,2026-06-17 08:48:57,2026-02-15 08:48:57
283,116,114,2,14.52,29.04,2026-05-18 08:48:57,2026-03-22 08:48:57
284,117,56,3,17.76,53.28,2026-06-09 08:48:57,2025-11-26 08:48:57
285,117,52,2,5.85,11.7,2025-08-13 08:48:57,2026-06-20 08:48:57
286,117,54,3,18.8,56.4,2025-09-15 08:48:57,2026-07-08 08:48:57
287,118,36,2,15.44,30.88,2026-01-20 08:48:57,2025-10-15 08:48:57
288,118,35,1,4.23,4.23,2025-09-30 08:48:57,2026-04-11 08:48:57
289,118,36,1,15.44,15.44,2025-12-10 08:48:57,2026-01-29 08:48:57
290,119,41,1,10.39,10.39,2025-08-23 08:48:57,2025-10-15 08:48:57
291,120,38,2,12.37,24.74,2025-10-27 08:48:57,2026-02-19 08:48:57
292,120,36,3,15.44,46.32,2026-04-15 08:48:57,2026-05-17 08:48:57
293,120,37,3,17.21,51.63,2026-07-05 08:48:57,2025-07-31 08:48:57
294,120,37,3,17.21,51.63,2025-12-07 08:48:57,2026-06-16 08:48:57
295,121,130,3,17.42,52.26,2026-06-25 08:48:57,2025-12-29 08:48:57
296,121,129,2,8.78,17.56,2026-01-18 08:48:57,2026-07-09 08:48:57
297,121,132,1,17.09,17.09,2025-08-28 08:48:57,2025-10-12 08:48:57
298,121,131,2,14.69,29.38,2025-12-03 08:48:57,2025-09-17 08:48:57
299,122,81,1,6.6,6.6,2026-06-03 08:48:57,2025-10-20 08:48:57
300,123,70,3,15.43,46.29,2026-05-29 08:48:57,2025-12-25 08:48:57
301,124,20,3,12.74,38.22,2025-10-22 08:48:57,2025-12-28 08:48:57
302,124,18,1,19.36,19.36,2025-08-30 08:48:57,2026-03-04 08:48:57
303,124,19,3,18.4,55.2,2025-08-31 08:48:57,2026-03-11 08:48:57
304,125,120,2,15.08,30.16,2026-06-29 08:48:57,2025-10-19 08:48:57
305,125,115,3,15.15,45.45,2025-11-25 08:48:57,2026-01-19 08:48:57
306,125,121,1,11.98,11.98,2026-03-16 08:48:57,2026-07-13 08:48:57
307,125,117,3,6.1,18.3,2026-07-17 08:48:57,2026-08-13 08:48:57
308,126,64,2,5.07,10.14,2026-07-29 08:48:57,2026-04-15 08:48:57
309,126,67,3,20.01,60.03,2025-10-15 08:48:57,2026-01-24 08:48:57
310,126,66,3,20.97,62.91,2026-01-30 08:48:57,2026-01-18 08:48:57
311,127,80,3,16.7,50.1,2026-04-27 08:48:57,2025-09-08 08:48:57
312,127,78,2,4.25,8.5,2026-06-03 08:48:57,2026-05-09 08:48:57
313,127,80,2,16.7,33.4,2026-01-12 08:48:57,2026-05-27 08:48:57
314,127,79,3,21.05,63.15,2026-06-10 08:48:57,2026-06-06 08:48:57
315,128,45,3,9.51,28.53,2026-08-05 08:48:57,2026-06-01 08:48:57
316,129,37,2,17.21,34.42,2026-06-05 08:48:57,2026-07-01 08:48:57
317,129,33,3,19.31,57.93,2026-01-13 08:48:57,2025-12-23 08:48:57
318,129,38,3,12.37,37.11,2025-10-08 08:48:57,2026-01-08 08:48:57
319,129,36,1,15.44,15.44,2025-12-24 08:48:57,2025-11-26 08:48:57
320,130,136,2,12.17,24.34,2026-02-13 08:48:57,2026-04-20 08:48:57
321,130,134,2,5.32,10.64,2025-10-08 08:48:57,2026-08-10 08:48:57
322,130,136,3,12.17,36.51,2026-04-14 08:48:57,2025-08-14 08:48:57
323,130,135,2,6.27,12.54,2025-11-07 08:48:57,2025-10-22 08:48:57
324,131,69,1,12.47,12.47,2025-10-27 08:48:57,2025-12-09 08:48:57
325,131,71,1,10.0,10.0,2025-10-20 08:48:57,2025-12-10 08:48:57
326,131,69,1,12.47,12.47,2025-08-05 08:48:57,2025-08-04 08:48:57
327,132,107,3,9.56,28.68,2026-07-04 08:48:57,2025-11-19 08:48:57
328,132,108,1,5.62,5.62,2026-04-10 08:48:57,2025-12-15 08:48:57
329,132,109,3,7.61,22.83,2025-09-08 08:48:57,2025-09-05 08:48:57
330,133,109,3,7.61,22.83,2025-11-10 08:48:57,2025-10-21 08:48:57
331,134,61,1,9.24,9.24,2026-02-19 08:48:57,2025-11-13 08:48:57
